Image_Index,X,Y,Z,MSE,PSNR,SSIM
0,-0.743833,0.613521,1.290766,78.05275728217086,29.2069211136466,0.7856025733540458
1,-0.707571,0.646028,1.290766,79.90124083023339,29.10526837104119,0.764330731872702
2,-0.687472,0.690388,1.290766,84.29637167297358,28.87271478963429,0.7253980838601409
3,-0.636168,0.832817,1.229148,80.89037959074923,29.0518348745211,0.8062501897698954
4,-0.609558,0.85145,1.187444,67.407289688522,29.843734954852785,0.8207961073566488
5,-0.589842,0.865255,1.140378,73.53419515220709,29.465910175334287,0.8346485916806612
6,-0.577725,0.873739,1.089627,77.0723050433755,29.261820130062222,0.8040170086437364
7,-0.533274,0.769652,1.089627,63.921702133440114,30.074320298354703,0.8956422064639942
8,-0.547783,0.766766,1.140378,47.32952222586871,31.379482404209625,0.9347915306915358
9,-0.571388,0.762071,1.187444,61.07863839945218,30.271910139209144,0.9060427449387621
10,-0.603249,0.755733,1.229148,57.02272555364381,30.570323891323103,0.8743115541679556
11,-0.642965,0.680521,1.264003,54.40748635167014,30.774216990828727,0.8790863856865857
12,-0.604163,0.671919,1.229148,57.471381807146,30.536287216948157,0.8769828489761865
13,-0.58122,0.553384,1.089627,89.38496301837489,28.618158960699283,0.7324850617156944
14,-0.593149,0.562131,1.140378,71.99996542186406,29.557480730074367,0.8171015898152602
15,-0.612558,0.576362,1.187444,72.4504135637678,29.530394919999907,0.8105672352633106
16,-0.638756,0.595571,1.229148,76.19852635394241,29.3113378851177,0.8871267884281427
17,-0.670807,0.619072,1.264003,65.02800983377487,29.999798981322805,0.8348213195250763
18,-0.72104,0.574041,1.264003,77.3400404625937,29.246759659175645,0.8004962799437361
19,-0.701168,0.539621,1.229148,68.8559579826251,29.751388359259856,0.8177354596426223
20,-0.684925,0.511488,1.187444,81.78288079712483,29.004179563827883,0.7715380420892174
21,-0.672891,0.490645,1.140378,79.40994850018879,29.132054465002316,0.7559406453568037
