Image_Index,X,Y,Z,MSE,PSNR,SSIM
0,-0.743833,0.613521,1.290766,48.305474367258704,31.2908400956217,0.9060801826444664
1,-0.707571,0.646028,1.290766,56.00026581942001,30.648902723682582,0.8531402409756493
2,-0.687472,0.690388,1.290766,76.30712763438314,29.305152547910573,0.8783914836797309
3,-0.636168,0.832817,1.229148,58.050277844584244,30.492760581355917,0.9161884451991252
4,-0.609558,0.85145,1.187444,45.69591493284587,31.53202983586272,0.9049038016420946
5,-0.589842,0.865255,1.140378,68.65377221220726,29.76415956135076,0.8782915138084882
6,-0.577725,0.873739,1.089627,31.695904127178384,33.12077216312395,0.9633239996876332
7,-0.533274,0.769652,1.089627,37.28760642424718,32.415158549564616,0.9552782307179435
8,-0.547783,0.766766,1.140378,21.808101533756442,34.74462500392376,0.9686103704415928
9,-0.571388,0.762071,1.187444,29.499768295615894,33.43261756019599,0.9313306532255772
10,-0.603249,0.755733,1.229148,53.88405549667324,30.816200861119704,0.9000998955053939
11,-0.642965,0.680521,1.264003,43.22275142549909,31.773679516090244,0.897053184733232
12,-0.604163,0.671919,1.229148,37.19712038223659,32.42571040623409,0.9187433949751479
13,-0.58122,0.553384,1.089627,90.36766901067323,28.57067280854116,0.6922327692194921
14,-0.593149,0.562131,1.140378,62.84439097868783,30.148138390004227,0.855994557137026
15,-0.612558,0.576362,1.187444,44.03697730284983,31.69262859508818,0.8979903126107286
16,-0.638756,0.595571,1.229148,66.11436162740762,29.927845519412255,0.8674389869132033
17,-0.670807,0.619072,1.264003,69.22286195204074,29.728308100547807,0.8534624705704139
18,-0.72104,0.574041,1.264003,75.3529217444299,29.35980264497513,0.7959814694672497
19,-0.701168,0.539621,1.229148,70.11351044954355,29.672786489164974,0.835983232513405
20,-0.684925,0.511488,1.187444,70.72730230954161,29.634932673892127,0.8363191643177289
21,-0.672891,0.490645,1.140378,64.45607326366044,30.03816516593073,0.8485975942417627
